,Classifier,Target,Choice,Edge,Feature Selection,Type of feature,Percentage,Refit Metric,Num_nodes,Num edges,% Positive edges,ROI_strl_thresh,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
133,RF,Neuroticism,keep median,pearson,solver,num_streamlines,6.913,roc_auc_ovr_weighted,24,241,100.0,0,100.0,100.0,100.0,100.0,43.365,41.935,28.0,39.916
134,RF,Extraversion,keep median,pearson,solver,mean_strl,6.885,roc_auc_ovr_weighted,25,240,100.0,0,100.0,100.0,100.0,100.0,48.201,46.774,44.068,50.159
135,RF,Neuroticism,keep median,pearson,solver,mean_strl,6.77,roc_auc_ovr_weighted,26,236,100.0,0,99.074,99.153,99.065,100.0,58.934,58.065,53.571,63.636
136,RF,Extraversion,keep median,pearson,solver,num_streamlines,6.684,roc_auc_ovr_weighted,24,233,100.0,0,100.0,100.0,100.0,100.0,53.069,53.226,56.716,50.688
137,RF,Neuroticism,keep median,pearson,solver,mean_FA,6.655,roc_auc_ovr_weighted,24,232,100.0,0,100.0,100.0,100.0,100.0,42.32,41.935,40.0,37.095
138,RF,Extraversion,keep median,pearson,solver,num_streamlines,6.54,roc_auc_ovr_weighted,25,228,100.0,0,100.0,100.0,100.0,100.0,44.497,43.548,42.623,47.937
139,RF,Extraversion,keep median,pearson,solver,mean_strl,6.483,roc_auc_ovr_weighted,24,226,100.0,0,100.0,100.0,100.0,100.0,50.635,50.0,50.794,46.772
140,RF,Neuroticism,keep median,pearson,solver,mean_strl,6.426,roc_auc_ovr_weighted,25,224,100.0,0,100.0,100.0,100.0,100.0,47.91,46.774,37.736,51.933
141,RF,Extraversion,keep median,pearson,solver,mean_FA,6.397,roc_auc_ovr_weighted,24,223,100.0,0,100.0,100.0,100.0,100.0,45.344,43.548,38.596,46.772
142,RF,Neuroticism,keep median,pearson,solver,num_streamlines,6.225,roc_auc_ovr_weighted,23,217,100.0,0,100.0,100.0,100.0,100.0,44.253,43.548,38.596,39.812
143,RF,Neuroticism,keep median,pearson,solver,mean_FA,6.168,roc_auc_ovr_weighted,23,215,100.0,0,100.0,100.0,100.0,100.0,38.871,38.71,38.71,35.632
144,RF,Extraversion,keep median,pearson,solver,mean_FA,6.081,roc_auc_ovr_weighted,23,212,100.0,0,100.0,100.0,100.0,100.0,54.603,51.613,42.308,55.132
